contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0x40a33fB67B8Dafe88A5B1930be03C82157F47c65,119,1,2,122,3,3,122,0,1,125,3,2,122,3,3,122,0,1,6,0,0,2,0,0,0,0,0
0x186813AE4a08de96871e501536360811bd13D320,69,2,2,70,4,2,70,0,0,73,4,2,70,4,2,70,0,0,4,0,0,2,0,0,0,0,0
0x9da41f7810c2548572f4Fa414D06eD9772cA9e6E,1390,1,1,1388,2,3,391,0,1,1391,2,2,1388,2,3,391,0,1,1,0,0,1,0,0,1,0,0
0x6f08105c8CEef2BC5653640fcdbBE1e7bb519D39,81,1,1,80,3,2,64,0,0,83,3,2,80,3,2,64,0,0,2,0,0,2,0,0,1,0,0
0xd4240987D6F92B06c8B5068B1E4006A97c47392b,2334,1,2,2333,3,2,1863,0,1,2337,3,2,2333,3,2,1863,0,1,3,0,0,2,0,0,0,0,0
0xdAD02644b70cbB20DEc56d25282ddC65BB7805a1,78,2,1,80,4,3,54,0,0,83,4,2,80,4,3,54,0,0,5,0,0,2,0,0,1,0,0
0x6bA75D640bEbfe5dA1197bb5A2aff3327789b5d3,161,2,0,161,3,3,158,0,0,164,3,2,161,3,3,158,0,0,3,0,0,1,0,0,2,0,0
0xe3fDe5fC70B99ecFb9707f686dcCC0d696BdcF2c,358,1,2,361,3,3,87,0,0,363,3,2,361,3,3,87,0,0,5,0,0,2,0,0,0,0,0
0x7EC81B7035e91f8435BdEb2787DCBd51116Ad303,86,2,2,91,3,2,85,0,1,94,3,2,91,3,2,85,0,1,8,0,0,1,0,0,0,0,0
0x572bCAf6fB2f222E890AcFcD0BAC0C345Da53Fbd,117,3,2,112,5,3,102,0,0,118,5,2,112,5,3,102,0,0,1,0,0,2,0,0,0,0,0
0xF9B0871d3A8dc365f6231653f7D879c9578ED039,273,2,1,273,3,3,73,0,0,276,3,2,273,3,3,73,0,0,3,0,0,1,0,0,1,0,0
0x9AB62dc4d7dE3C9b2399F74de7613bb0B98a02F9,8132,1,2,8132,2,3,2079,0,0,8136,2,2,8132,2,3,2079,0,0,4,0,0,1,0,0,0,0,0
0xB1D914e7c55f16C2BAcAc11af6b3e011Aee38caF,408,3,3,381,5,4,5,0,0,410,5,3,381,5,4,5,0,0,2,0,0,2,0,0,0,0,0
